Part,Description,Quantity,Manufacturer,Part Number,Datasheet,Price (EGP),Total Price (EGP),
Arduino Uno,Arduino Uno R3,1,Arduino,A000066,https://www.alldatasheet.com/datasheet-pdf/pdf/1943445/ARDUINO/ARDUINO-UNO.html,370,370,
LED,"Red LED, 3mm",2,Everlight Electronics,204-10UBC/S400-A6,N/A,1,371,
Resistor,"330 Ohm, 0.25W",2,Yageo,MFR-25FBF52-330R,https://microohm-eg.com/product/resistors-10k-ohm-1-4-watt-10pcs/,1.5,372.5,
Push Button,Tactile Push Button Switch,1,Omron,B3F-1000,https://microohm-eg.com/product/press-4pin-push-button-switch-6x6x7-5mm/,1,373.5,
Jumper Wires,Male-to-Male,20,Generic,JW-MM-65,https://microohm-eg.com/product/jumper-wires-for-bread-board-arduino-65pcs/,5,378.5,
Breadboard ,MB-102 830-point solderless breadboard,1,Generic,MB-102,https://microohm-eg.com/product/mb102-830-points-solderless-prototype-pcb-breadboard-high-quality/,35,413.5,
Standard Matrix Key Pad 3x4,3x4 Keypad,1,Generic,KP-202,https://www.scribd.com/doc/53385865/KEYPAD3X4,25,438.5,
I2C LCD 2x16 Display,I2C Serial Interface 1602 LCD Module,1,Generic,I2C Serial Interface 1602 LCD Module,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/5773/CN0295D%20DATASHEET.pdf,145,583.5,
RTC + EEPROM,Real-Time Clock with battery holder to maintain timekeeping when external power is removed with a non-volatile memory, 1, Generic,AT24C32,https://ww1.microchip.com/downloads/en/DeviceDoc/doc0336.pdf,95,678.5,
LM35,precision integrated-circuit temperature sensor,1,Texas instruments,LM35DZ,https://www.ti.com/lit/ds/symlink/lm35.pdf?ts=1764989185327&ref_url=https%253A%252F%252Fwww.google.com%252F,75,753.5,
DC Motors, Single Shaft 20000RPM 580mA DIY Toy Motor,1, Generic,,https://microohm-eg.com/product/dc-motor-5v/?srsltid=AfmBOorischKJ--PKd3gzjt2q4uB4pcs6TKVAXF2CBduz9wYooZIq3CY,15,768.5,
L298N,L298N is designed to control the speed and direction of two DC motors or one stepper motor,1,Generic,L298N,https://www.handsontec.com/dataspecs/L298N%20Motor%20Driver.pdf,75,843.5,
Battery Case 3xAA,portable power source,1,Generic,Pololu Item #142,https://www.ram-e-shop.com/shop/battery-case-3xaa-onoff-battery-case-3xaa-on-off-switch-6138,20,863.5,
Plastic Propeller 4 Blades,Fan,1,Generic,C29909 (for 4mm shaft),https://www.ram-e-shop.com/shop/ro-toy-propeller-4blades-plastic-propeller-4-blades-60mm-9432,20,883.5,
Lithium Battery, 30A Battery, 3, Sony, US18650,N/A, 135, 1288.5,
